unit	path	disposition
00a	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
00a	.github/workflows/release.yml	Retain alpha workflow; source/tests and integration record scope
00a	deps/crypto/trezor-firmware	Advance to 00b descendant 74908938c562ec89dcae9fb4e3b05ec3ff17f58b; restores Base32/Base58 bounds while retaining RedPallas
00a	deps/python-keepkey	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	docs/release/REHEARSAL-SOP.md	Evidence preserved; release audit/artifacts outside alpha scope
00a	docs/release/RELEASE-PROGRAM.md	Evidence preserved; release audit/artifacts outside alpha scope
00a	docs/release/audit-units/715-00a-release-foundation.md	Evidence preserved; release audit/artifacts outside alpha scope
00a	include/keepkey/board/keepkey_flash.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	include/keepkey/rand/rng.h	Alpha already declares rng_persistent_error_step
00a	include/keepkey/rand/rng_health.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	include/pb.h	Alpha already has intended nanopb field options
00a	lib/board/confirm_sm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/board/keepkey_flash.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/board/layout.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/board/timer.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/emulator/libkkemu.c	Alpha already stops producer and protects unread frame slots
00a	lib/firmware/ethereum_contracts.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/fsm_msg_crypto.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/fsm_msg_debug.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/fsm_msg_ripple.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/fsm_msg_thorchain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/nano.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/reset.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/firmware/ripple_base58.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/rand/rng.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	lib/rand/rng_health.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/capture-dice-flow.py	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/docker-compose.audit.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/docker-compose.bitcoin-only.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/docker-compose.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/firmware-unit.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	scripts/emulator/python-keepkey.Dockerfile	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	tools/bootloader/usb_flash.c	Alpha already keeps DebugLink watermark
00a	tools/check_sram_budget.py	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	tools/firmware/keepkey_main.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	tools/test_check_sram_budget.py	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/board/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/board/board.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/board/otp_entropy.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/crypto/vuln1845.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/firmware/nano.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/firmware/nanopb_bounds.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/firmware/ripple.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/firmware/rng_health.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00a	unittests/firmware/storage_passphrase.cpp	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	.github/workflows/ci.yml	Retain alpha workflow; source/tests and integration record scope
00b	CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	deps/crypto/CMakeLists.txt	Alpha already exposes required crypto includes/API
00b	docs/release/audit-units/715-00b-corrective-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-corrective-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-hardening-20260924.md	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-hardening-20260924.pdf	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-remediation-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-remediation-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-remediation-evidence-20260923.json	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-review-20260923.md	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-review-20260923.pdf	Evidence preserved; release audit/artifacts outside alpha scope
00b	docs/release/audit-units/715-00b-storage-persistence.md	Evidence preserved; release audit/artifacts outside alpha scope
00b	include/keepkey/board/layout.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	include/keepkey/firmware/fsm.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	include/keepkey/firmware/osmosis.h	Keep alpha amount formatter API used by existing full feature handlers
00b	include/keepkey/firmware/reset.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	include/keepkey/firmware/signed_metadata.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	include/keepkey/firmware/tiny-json.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/board/signatures.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/board/timer.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/emulator/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/emulator/libkkemu.c	Alpha already stops producer and protects unread frame slots
00b	lib/firmware/CMakeLists.txt	Alpha already includes active firmware engines; retain full feature build
00b	lib/firmware/app_confirm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/eip712.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/ethereum.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_common.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_ethereum.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_mayachain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_ripple.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_thorchain.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/fsm_msg_tron.h	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/mayachain.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/messagemap.def	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/osmosis.c	Keep alpha integer amount formatter and strict signer guards
00b	lib/firmware/recovery_cipher.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/reset.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/ripple.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/signed_metadata.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/storage.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/firmware/thorchain.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	lib/rand/rng.c	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	scripts/build/docker/device/release.sh	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	scripts/emulator/docker-compose.bitcoin-only.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	scripts/emulator/docker-compose.yml	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	scripts/generate-test-report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	scripts/test_generate_test_report.py	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	tools/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
00b	tools/bootloader/usb_flash.c	Alpha already keeps DebugLink watermark
00b	tools/emulator/CMakeLists.txt	Replayed/reconciled; see adjacent alpha diff and behavior record
