commit	added	deleted	path
b771669ba842d83790a69b6132f63cea82e5a861	-	-	docs/security/evidence/rom-printf-integer-percent/01-thorchain-withdraw-25.05pct.png
b771669ba842d83790a69b6132f63cea82e5a861	-	-	docs/security/evidence/rom-printf-integer-percent/02-thorchain-sending-eth.png
b771669ba842d83790a69b6132f63cea82e5a861	17	0	docs/security/evidence/rom-printf-integer-percent/README.md
b771669ba842d83790a69b6132f63cea82e5a861	8	5	include/keepkey/firmware/eip712.h
b771669ba842d83790a69b6132f63cea82e5a861	1	0	include/keepkey/firmware/ethereum.h
b771669ba842d83790a69b6132f63cea82e5a861	13	11	include/keepkey/firmware/ethereum_contracts/thortx.h
b771669ba842d83790a69b6132f63cea82e5a861	4	4	include/keepkey/firmware/ethereum_contracts/zxliquidtx.h
b771669ba842d83790a69b6132f63cea82e5a861	2	6	include/keepkey/firmware/thorchain.h
b771669ba842d83790a69b6132f63cea82e5a861	0	6	include/keepkey/firmware/tiny-json.h
b771669ba842d83790a69b6132f63cea82e5a861	1	1	include/keepkey/transport/messages.options
b771669ba842d83790a69b6132f63cea82e5a861	1	1	lib/board/draw.c
b771669ba842d83790a69b6132f63cea82e5a861	1	13	lib/board/messages.c
b771669ba842d83790a69b6132f63cea82e5a861	0	1	lib/firmware/CMakeLists.txt
b771669ba842d83790a69b6132f63cea82e5a861	392	328	lib/firmware/eip712.c
b771669ba842d83790a69b6132f63cea82e5a861	4	0	lib/firmware/ethereum.c
b771669ba842d83790a69b6132f63cea82e5a861	1	1	lib/firmware/ethereum_contracts.c
b771669ba842d83790a69b6132f63cea82e5a861	110	96	lib/firmware/ethereum_contracts/zxappliquid.c
b771669ba842d83790a69b6132f63cea82e5a861	155	192	lib/firmware/ethereum_contracts/zxliquidtx.c
b771669ba842d83790a69b6132f63cea82e5a861	99	0	scripts/emulator/capture-thor-percent.py
b771669ba842d83790a69b6132f63cea82e5a861	1	0	unittests/firmware/CMakeLists.txt
b771669ba842d83790a69b6132f63cea82e5a861	42	0	unittests/firmware/app_confirm.cpp
b771669ba842d83790a69b6132f63cea82e5a861	108	0	unittests/firmware/eip712.cpp
b771669ba842d83790a69b6132f63cea82e5a861	173	334	unittests/firmware/ethereum.cpp
b771669ba842d83790a69b6132f63cea82e5a861	90	0	unittests/firmware/kkconfirm_driver.cpp
b771669ba842d83790a69b6132f63cea82e5a861	20	0	unittests/firmware/kkconfirm_driver.h
b771669ba842d83790a69b6132f63cea82e5a861	258	7	unittests/firmware/signed_metadata.cpp
e5bd8499b625b89a07923022fc1b60fbdbdeb526	9	2	lib/firmware/ethereum_contracts/zxliquidtx.c
2263bdce05e972cef540f6b6b7dfa8d5a0cf96b0	10	1	lib/board/messages.c
2263bdce05e972cef540f6b6b7dfa8d5a0cf96b0	38	0	unittests/firmware/usb_rx.cpp
c20dab14ddc3156141e1fb70234cd706b1b25392	12	7	lib/firmware/ethereum.c
ba52d68b6e6b942ecc929a0142171140204e67b2	10	0	lib/firmware/fsm_msg_common.h
ba52d68b6e6b942ecc929a0142171140204e67b2	0	2	unittests/firmware/fsm.cpp
c2ddc065606df576f5c546259b6811e64f4de2a2	1	1	lib/firmware/fsm_msg_ethereum.h
c2ddc065606df576f5c546259b6811e64f4de2a2	11	13	lib/firmware/storage.c
c2ddc065606df576f5c546259b6811e64f4de2a2	75	1	unittests/firmware/storage.cpp
2831f91b5a17f58ee566f67f9198bd7ef2396d36	19	13	lib/firmware/signing.c
2831f91b5a17f58ee566f67f9198bd7ef2396d36	0	2	unittests/firmware/fsm.cpp
ae4061a6f0fa6d95f387125ef3280e6c94e3b899	19	0	lib/board/messages.c
ae4061a6f0fa6d95f387125ef3280e6c94e3b899	23	0	lib/firmware/ethereum.c
ae4061a6f0fa6d95f387125ef3280e6c94e3b899	6	0	lib/firmware/fsm_msg_eos.h
ae4061a6f0fa6d95f387125ef3280e6c94e3b899	2	0	lib/firmware/recovery_cipher.c
ae4061a6f0fa6d95f387125ef3280e6c94e3b899	0	16	unittests/firmware/fsm.cpp
4bed9727142c5987dfb84e25a364e8b65098bcd5	1	1	deps/python-keepkey
4bed9727142c5987dfb84e25a364e8b65098bcd5	15	8	lib/firmware/fsm_msg_ripple.h
4bed9727142c5987dfb84e25a364e8b65098bcd5	1	1	lib/firmware/ripple.c
4bed9727142c5987dfb84e25a364e8b65098bcd5	17	0	unittests/firmware/ripple.cpp
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	1	1	.github/workflows/ci.yml
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	12	0	docs/release/audit-units/715-06-reconciliation-20260924.md
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	14	11	lib/firmware/ethereum.c
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	4	0	lib/firmware/storage.c
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	2	0	unittests/firmware/CMakeLists.txt
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	39	33	unittests/firmware/app_confirm.cpp
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	8	0	unittests/firmware/ethereum.cpp
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	0	90	unittests/firmware/kkconfirm_driver.cpp
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	1	1	unittests/firmware/kkconfirm_driver.h
de8e97cb376ee9aafaf2947d64121a65cb3cf67d	54	0	unittests/firmware/liquidity_key_probe.c
1258aee567c411d3d2f607be7f8e6667ff9de032	3	0	.github/workflows/ci.yml
1258aee567c411d3d2f607be7f8e6667ff9de032	1	1	.gitmodules
1258aee567c411d3d2f607be7f8e6667ff9de032	7	0	lib/firmware/fsm_msg_ethereum.h
1258aee567c411d3d2f607be7f8e6667ff9de032	1	0	lib/firmware/storage.c
1258aee567c411d3d2f607be7f8e6667ff9de032	85	0	scripts/tests/test_usb_receive_callbacks.py
1258aee567c411d3d2f607be7f8e6667ff9de032	1	0	unittests/firmware/CMakeLists.txt
1258aee567c411d3d2f607be7f8e6667ff9de032	11	0	unittests/firmware/messages_probe.c
1258aee567c411d3d2f607be7f8e6667ff9de032	6	0	unittests/firmware/signed_metadata.cpp
1258aee567c411d3d2f607be7f8e6667ff9de032	37	1	unittests/firmware/usb_rx.cpp
d7d149c4670821dbc07628669e578c7d80806afe	11	0	scripts/emulator/python-keepkey-tests.sh
