variant	test	reason
full	tests.test_dylib_confirm_flow.TestDylibConfirmFlow::test_features_round_trip	dylib confirm-flow regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_dylib_confirm_flow.TestDylibConfirmFlow::test_load_device_with_auto_confirm	dylib confirm-flow regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_features_dont_corrupt_capture	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_repeated_reads_no_truncation	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_round_trip_fits_through_ring	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_dylib_screenshot.TestDylibScreenshot::test_layout_stable_across_idle_reads	dylib screenshot regression — set KK_TRANSPORT=dylib KK_DYLIB=...
full	tests.test_erc7730_compiler::test_compiles_official_uniswap_tuple_fixture_through_firmware	official ERC-7730 registry not configured
full	tests.test_erc7730_compiler::test_official_registry_all_calldata_formats_reach_firmware	official registry and firmware validator are required
full	tests.test_erc7730_compiler::test_compiles_official_uniswap_eip712_fixture_through_firmware	official ERC-7730 registry not configured
full	tests.test_msg_binance_sign_tx.TestMsgBinanceSignTx::test_retired_handlers_stay_unregistered	Firmware version 7.16.0 or higher is required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_altcoin_coin_names_are_refused	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_altcoin_message_handlers_are_absent	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_bitcoin_signing_survives_the_strip	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_coin_table_is_bitcoin_and_testnet_only	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_firmware_variant_names_the_bitcoin_only_product	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_omni_op_return_is_still_decoded	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_op_return_does_not_poison_the_duplicate_detector	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_op_return_refusal_cancels_the_signature	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_op_return_thorchain_memo_is_confirmed_raw	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_repeated_transaction_is_allowed_without_op_return	Bitcoin-only firmware required to run this test
full	tests.test_msg_bitcoin_only_variant.TestBitcoinOnlyVariant::test_zcash_privacy_is_compiled_out	Bitcoin-only firmware required to run this test
full	tests.test_msg_eip712_streaming.TestMsgEip712Streaming::test_multidimensional_arrays_walk_outermost_first_on_device	Staged release tree does not yet provide capability: evm-unknown-token-review
full	tests.test_msg_ethereum_erc20_uniswap_liquidity.TestMsgEthereumUniswaptxERC20::test_sign_uni_add_liquidity_ETH	Staged release tree does not yet provide capability: evm-unknown-token-review
full	tests.test_msg_ethereum_erc20_uniswap_liquidity.TestMsgEthereumUniswaptxERC20::test_sign_uni_remove_liquidity_ETH	Staged release tree does not yet provide capability: evm-unknown-token-review
full	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_native_pseudo_address_is_unknown_off_mainnet	Staged release tree does not yet provide capability: evm-unknown-token-review
full	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_unrenderable_amounts_are_rejected	Staged release tree does not yet provide capability: evm-max-amount-review
